# index, label, movie_id, viz, vid, _pos
0,AGENT AMDURSKY,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 205.01816, 'y': 259.5299, 'z': 0.0}}",1085250,"array([2.64149678, 6.98410027])"
1,AMDURSKY,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.1771, 'position': {'x': 160.18234, 'y': 175.16965, 'z': 0.0}}",1085225,"array([2.73797995, 6.50778449])"
2,ASHLEY,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 33.7842, 'y': 173.81876, 'z': 0.0}}",1083840,"array([1.80448961, 4.42178769])"
3,AUCTIONEER,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -187.51755, 'y': 89.455345, 'z': 0.0}}",1084908,"array([2.61884553, 5.08871026])"
4,BARTENDER,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 105.37144, 'y': -264.9564, 'z': 0.0}}",1083480,"array([3.03737598, 5.42795014])"
5,BELLMAN,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 7.084475, 'y': 165.37457, 'z': 0.0}}",1083902,"array([1.14409284, 4.99283031])"
6,BRENDA,180,"{'color': {'r': 214, 'g': 67, 'b': 67, 'a': 1.0}, 'size': 5.0592275, 'position': {'x': -86.54098, 'y': 0.9877331, 'z': 0.0}}",1086394,"array([2.21914733, 5.83840357])"
7,CAROL,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 198.97546, 'y': -22.652918, 'z': 0.0}}",1087186,"array([1.27102008, 5.87247235])"
8,CO-PILOT,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 120.022865, 'y': -101.097534, 'z': 0.0}}",1087864,"array([1.60667719, 5.14500881])"
9,COMPANY,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 113.47157, 'y': 404.1459, 'z': 0.0}}",1084000,"array([1.28600182, 3.47553261])"
10,DARCY,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -181.94931, 'y': -226.38852, 'z': 0.0}}",1082596,"array([4.1545871 , 5.64336268])"
11,DEBBIE ZANE,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0293684, 'position': {'x': -122.0165, 'y': 33.829185, 'z': 0.0}}",1082672,"array([2.50755249, 5.76425221])"
12,DETECTIVE #1,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -197.05281, 'y': -81.44237, 'z': 0.0}}",1084122,"array([3.54835858, 5.27578163])"
13,DETECTIVE #2,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -199.678, 'y': -42.76529, 'z': 0.0}}",1084131,"array([3.40272167, 5.07720421])"
14,DIRECTOR MARSH,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 278.25146, 'y': 125.39119, 'z': 0.0}}",1087655,"array([1.94354075, 7.36839282])"
